english	translation	category	sub_category	source
Complete	かんりょうする	actions	object	Incomplete map
Check-Count	かずをかくにんする	actions	object	Gate
Clamber	よじのぼる	actions	object	Rock Pile
Look-through	のぞく	actions	object	Window
Charge-at	つきすすむ	actions	object	Vyre well
Quick-enter	すぐにはいる	actions	object	Door
Resign	やめる	actions	object	Vyre Orator
Varrock	ヴァーロックへいく	actions	object	Varrock Portal
Grand Exchange	グランドえくすちぇんじ	actions	object	Varrock Portal
Toggle	きりかえる	actions	object	Varrock Portal
Camelot	キャメロットへいく	actions	object	Camelot Portal
Seers' Village	せいりんのむらへいく	actions	object	Camelot Portal
Watchtower	やぐらへいく	actions	object	Yanille Watchtower Portal
Yanille	ヤニール	actions	object	Yanille Watchtower Portal
Quick-Enter	すぐにはいる	actions	object	Formidable passage
Iceberg	ひょうざんへいく	actions	object	Boat
Lumbridge	ラムブリッジへいく	actions	object	Portal Nexus
Falador	ファラダーへいく	actions	object	Portal Nexus
Senntisten	センティスンへいく	actions	object	Portal Nexus
Marim	マリムへいく	actions	object	Portal Nexus
Kharyrll	カハリルへいく	actions	object	Portal Nexus
Lunar Isle	つきのしまへいく	actions	object	Portal Nexus
Great Kourend	だいくうれんどへいく	actions	object	Portal Nexus
Waterbirth Island	みずのたんじょうのしまへいく	actions	object	Portal Nexus
Fishing Guild	つりギルド	actions	object	Portal Nexus
Annakarl	あんなかーるへいく	actions	object	Portal Nexus
Troll Stronghold	トロールのようさいへいく	actions	object	Portal Nexus
Look out	みはる	actions	object	Xeric's Talisman
Teleport menu	テレポートメニュー	actions	object	Xeric's Talisman
Glade	くうきのしげみへいく	actions	object	Xeric's Talisman
Inferno	じごくへいく	actions	object	Xeric's Talisman
Heart	こころへいく	actions	object	Xeric's Talisman
Honour	めいよへいく	actions	object	Xeric's Talisman
Digsite	はっくつじょへいく	actions	object	Digsite Pendant
Fossil Island	かせきのしまへいく	actions	object	Digsite Pendant
Lithkren	いしのしまへいく	actions	object	Digsite Pendant
Catherby	きゃさーびーへいく	actions	object	Portal Nexus
Ghorrock	ごろっくへいく	actions	object	Portal Nexus
Carrallanger	かーららんじゃーへいく	actions	object	Portal Nexus
Ancients	こだいのじゅつをつかう	actions	object	Supplies
Start	はじめる	actions	object	Steam Generator
Align	そろえる	actions	object	Power Grid
Fill-jug	つぼにつめる	actions	object	Coolant Dispenser
Cleanse	きよめる	actions	object	Refinery
Rebalance	バランスをもとにもどす	actions	object	Energy Pylon
Pick-dragonfruit	ドラゴンフルーツをつむ	actions	object	Dragonfruit tree
Crawl through	はいくぐる	actions	object	Tunnel
Quick-open	すぐあける	actions	object	Alchemical door
Take-rock	いしをとる	actions	object	Rubble
Quick-Exit	すぐにでる	actions	object	Ancient Fire
Check-Faith	しんこうをかくにんする	actions	object	Sacred Bone Burner
Enter-crypt	びょういんへはいる	actions	object	Thick Web
Follow	ついていく	actions	object	Tracks
Fill-from	ぐむをやる	actions	object	Water Pump
Channel	つうろをひらく	actions	object	Teleport Platform
Enter-corrupted	ふうはいしたぐむへはいる	actions	object	The Gauntlet
Refine	せいれつする	actions	object	Furnace
Imbue	みたすならえる	actions	object	Altar
PvP Arena	ぴーぶいぴーあおリーナへいく	actions	object	Basic Jewellery Box
Castle Wars	しろのせんそうへいく	actions	object	Basic Jewellery Box
Ferox Enclave	ふぇろっくすのようさいへいく	actions	object	Basic Jewellery Box
Burthorpe	ばーさおーぷへいく	actions	object	Basic Jewellery Box
Barbarian Outpost	ばーばりあんのきち	actions	object	Basic Jewellery Box
Corporeal Beast	そうのくうせいじゅうへいく	actions	object	Basic Jewellery Box
Tears of Guthix	ぐてぃっくすのなみだへいく	actions	object	Basic Jewellery Box
Wintertodt Camp	ふゆのかぜのきち	actions	object	Basic Jewellery Box
Warriors' Guild	せんしのぎるどへいく	actions	object	Fancy Jewellery Box
Champions' Guild	しょうしゃのぎるどへいく	actions	object	Fancy Jewellery Box
Monastery	きかんへいく	actions	object	Fancy Jewellery Box
Ranging Guild	ゆみぎるどへいく	actions	object	Fancy Jewellery Box
Mining Guild	こうさんぎるどへいく	actions	object	Fancy Jewellery Box
Crafting Guild	こうげいぎるどへいく	actions	object	Fancy Jewellery Box
Cooking Guild	ちゅうりぎるどへいく	actions	object	Fancy Jewellery Box
Woodcutting Guild	もくきりぎるどへいく	actions	object	Fancy Jewellery Box
Farming Guild	のうぎるどへいく	actions	object	Fancy Jewellery Box
Miscellania	まぜられたくにへいく	actions	object	Ornate Jewellery Box
Falador Park	ふぁらだーこうえんへいく	actions	object	Ornate Jewellery Box
Dondakan's Rock	どんだかんのいしへいく	actions	object	Ornate Jewellery Box
Draynor Manor	どれいなーやかたへいく	actions	object	Portal Nexus
Battlefront	せんとうせん	actions	object	Portal Nexus
Mind Altar	こころのさいだんへいく	actions	object	Portal Nexus
Salve Graveyard	さるぶぼじゃこじゃかへいく	actions	object	Portal Nexus
Fenkenstrain's Castle	ふぇんけんすとらいんのしろへいく	actions	object	Portal Nexus
West Ardougne	にしのあるどぅーにゃへいく	actions	object	Portal Nexus
Harmony Island	ちょうわのしまへいく	actions	object	Portal Nexus
Cemetery	ぼしょへいく	actions	object	Portal Nexus
Barrows	しおただしのた	actions	object	Portal Nexus
Ape Atoll Dungeon	えんのこじまもぐぐらへいく	actions	object	Portal Nexus
Destroy	こわす	actions	object	Lab table
Stamp-out	ふみつぶす	actions	object	Magical Fire
Continue	つづける	actions	object	Path
Climp-up	のぼる	actions	object	Stairs
Check-statistics (Personal)	こじんのとうけいをかくにんする	actions	object	Noticeboard
Check-statistics (Global)	ぜんたいのとうけいをかくにんする	actions	object	Noticeboard
Sacrifice	おさげする	actions	object	Saradomin Brazier
Walk-over	あるいてわたる	actions	object	Bridge
Conjure	うみだす	actions	object	Portal frame
Search-for-traps	わなをさがす	actions	object	Coffin
Pass-Through	とおる	actions	object	Casual
Cut-foot	あしをきる	actions	object	Dead sourhog
Take-candy	あめをとる	actions	object	Magical pumpkin
Jump-Down	とびおりる	actions	object	Crevice
Channel (Asgarnia)	あすがるにあへいく	actions	object	Waystone
Channel (Misthalin)	みすたりんへいく	actions	object	Waystone
Channel (Kandarin)	かんだりんへいく	actions	object	Waystone
Channel (Fremennik)	ふれめんぎせいはんぐくへいく	actions	object	Waystone
Channel (Kharidian Desert)	かはりでぃあんえんばくへいく	actions	object	Waystone
Channel (Morytania)	もりたにあへいく	actions	object	Waystone
Channel (Tirannwn)	てぃらんぬへいく	actions	object	Waystone
Channel (Karamja)	からむじゃへいく	actions	object	Waystone
Channel (Wilderness)	あらぶだいちへいく	actions	object	Waystone
Slayer	ころしやのしょくぎょうへいく	actions	object	Kings' ladder
Open (normal)	あける	actions	object	Big door
Open (private)	あける	actions	object	Big door
Climb-down (normal)	おりる	actions	object	Tunnel entrance
Climb-down (private)	おりる	actions	object	Tunnel entrance
Sacrifice-fragments	ぶっぶんをささげる	actions	object	Soul Obelisk
Remove-decorations	かざりをとりのぞく	actions	object	Christmas curtains
Untether	しばりをはずす	actions	object	Mast
Tether	つなぎとめる	actions	object	Mast
Remove-trophy	たてをとりのぞく	actions	object	Trophy pedestal
View-trophies	たてをみる	actions	object	Oak trophy case
Remove-banner	のぼりをとりのぞく	actions	object	Banner stand
Remove-outfit	ふくをとりのぞく	actions	object	Oak outfit stand
Spin-globe	ちきゅうぎぎをまわす	actions	object	Trailblazer globe
League-statistics	りーぐのとうけいをみる	actions	object	League Accomplishment Scroll
League-rankings	りーぐのランキングをみる	actions	object	League Accomplishment Scroll
League-firsts	りーぐのさきがけをみる	actions	object	League Accomplishment Scroll
Cook-at	りょうりをする	actions	object	Shrine
Quick-climb	すぐよじのぼる	actions	object	Rope ladder
Arceuus Library	あるくえうすとしょかんへいく	actions	object	Portal Nexus
Prepare-fish	さかなをじゅんびする	actions	object	Preparation Table
Offer-fish	さかなをささげる	actions	object	Altar
Entertain	たのしませる	actions	object	Piano
Play-quietly	しずかにぶっそうする	actions	object	Piano
Background-music	けいこくおんがくをされられるするする	actions	object	Piano
Enter-member	くみいんがはいる	actions	object	Clan hall portal
Enter-guest	ゲストがはいる	actions	object	Clan hall portal
Pet	ペットをなでる	actions	object	Cat
Pass (normal)	とおる	actions	object	Ancient Barrier
Pass (private)	とおる	actions	object	Ancient Barrier
Adjust	ちょうせいする	actions	object	Machine
Say-name	なまえをいう	actions	object	Grave
Deposit-runes	ルーンをあずかるじょへあずける	actions	object	Deposit Pool
Deposit-items	どうぐをあずかるじょへあずける	actions	object	Deposit Pool
Visual-effects	みるかじゃかよう	actions	object	Barrier
Toggle-talisman	ぎしゃんをきりかえる	actions	object	Guardian of Air
Assemble	あつめた	actions	object	Essence pile (elemental)
Place-cell	そだらをおく	actions	object	Inactive cell tile
Exit-through (Kourend)	くうれんどをぬける	actions	object	Blood rift
Pay-toll(10gp)	りょうきん（１０）をしはらう	actions	object	Gate
Pour	そそぐ	actions	object	Crucible (full)
Heat-preform	あたためよう	actions	object	Lava pool
Dunk-preform	ひたす	actions	object	Lava pool
Cool-preform	ひやす	actions	object	Waterfall
Quench-preform	ひやすぎった	actions	object	Waterfall
Store-preform	しまう	actions	object	Preform storage
Take-preform	とる	actions	object	Preform storage
Rank	そしきをする	actions	object	Arena recruitment board
Quick-use	すぐにつかう	actions	object	Staging area steps
Quick-Pass	すぐとおる	actions	object	Barrier
Flip	ひっくりかえす	actions	object	Pressure plate
Rotate-clockwise	じかんぐみにまわす	actions	object	Mirror
Rotate-anticlockwise	はんじかんぐみにまわす	actions	object	Mirror
Deposit-pickaxe	つるはしをあずかるじょへあずける	actions	object	Statue
Quick-Use	すぐにつかう	actions	object	Teleport crystal
Quick-Board	すぐにのる	actions	object	Sacrificial boat
Check-permissions	けんげんをかくにんする	actions	object	Chest
Pickup	ひろう	actions	object	Gingerbread
Check-times	じかんをかくにんする	actions	object	Santa's log
Push-against	おしつける	actions	object	Wall
Check-Fee	ぶっこすをかくにんする	actions	object	Crevice
Peer-into	そっとのぞく	actions	object	Prifddinas Display
Release-bees	みつばちをにがす	actions	object	Beehive
Add-mulch	くわをつめ	actions	object	Struggling sapling
Read (Awakened)	よむ	actions	object	Scoreboard
Attach-rope	なわをむすぶ	actions	object	Rock
Climb-rope	なわをよじのぼる	actions	object	Rock
Build-barricade	よせなおをたてる	actions	object	Surface
Take-supplies	ていきゅうするびんをとる	actions	object	Stone chest
Lockpick	ろっくぴっくる	actions	object	Stone chest (locked)
Burn	やく	actions	object	Shipwreck
Burn`	ぼんびんをやく	actions	object	Gunpowder
Withdraw	ひきだす	actions	object	Extract orifice
Tend-to	かたかたしたたきびへすすむ	actions	object	Forester's Campfire
Rest	やすむ	actions	object	Forester's Campfire
Retrieve-egg	たまごをとりもどす	actions	object	Pheasant Nest
Revert	えんくぎょうこくへもどす	actions	object	Fiery Ornate Pool of Rejuvenation
Channel (Great Kourend)	だいくうれんどへいく	actions	object	Waystone
Travel-End	もくてきちへいく	actions	object	Portal
Travel-Start	しゅっぱつてんはじめる	actions	object	Portal
Reload	もっこうする	actions	object	Steps
Collect-reward	しょうきんをうけとる	actions	object	Table
Look-over	ながめる	actions	object	Balcony
Walk-to	あおいたいるへあるく	actions	object	Blue tile
Civitas illa Fortis	しびたすいらふぉるてぃすへいく	actions	object	Portal Nexus
Fortis Colosseum	ふぉるてぃすころしいあむへいく	actions	object	Basic Jewellery Box
View-stats	とうけいをみる	actions	object	Colosseum scoreboard
View-glory	えいこうをみる	actions	object	Colosseum scoreboard
Sabotage	さぼたーじゅする	actions	object	Lily pad
Plant-evidence	しょうこをしょくえんする	actions	object	Capybara Dung
Rustle	ざわめく	actions	object	Bush
Make-cuppa	こーひーをつくる	actions	object	Cooking stove
Align-net	あみをそろえる	actions	object	Stream
Take-from Fishing	つりのしょくりょうをもらう	actions	object	Supply crates
Take-from Hunting	しゅつりょくのしょくりょうをもらう	actions	object	Supply crates
Take-from Herblore	やくそうのしょくりょうをもらう	actions	object	Supply crates
Take-log	まるたをとる	actions	object	Roots
Bask	たいようにあたる	actions	object	Shrine of Ralos
Cimb-down	ふたをあける	actions	object	Open trapdoor
Bless	もじゃをきよめる	actions	object	Exposed altar
Deposit-eggs	たまごをあずける	actions	object	Easter mine cart
Redeem	もらう	actions	object	Agility dispenser
Squeeze-Through	とおりぬける	actions	object	Crevice
Jump-Across	とびこえる	actions	object	Dry stone wall
Walk here	ここへあるく	actions	manual	
Examine	しらべる	actions	manual	
Cancel	キャンセル	actions	manual	
Add to canvas	キャンバスへあてはめる	actions	manual	
Wiki	ウィキ	actions	manual	
Examine	しらべる	actions	npc	
Examine	しらべる	actions	item	
Take	とる	actions	item	
Light	あかりをつける	actions	item	
Assignment	たいいくをもらう	actions	npc	Vannaka
Attract	あかりのいきものをひきよせる	actions	npc	Light creature
Plant-orb	きゅうをうえる	actions	npc	Surok Magis
Build	そうちをたてる	actions	object	Funeral Pyre
Emir's Arena	どうぐばこをひらく	actions	object	Basic Jewellery Box
Big-Search	ほうしゅういけをさがす	actions	object	Reward pool
Solo-start	なわばしごでのぼる	actions	object	Rope ladder
Cross-over	こわれたかべをわたる	actions	object	Broken wall
Follow	ついていく	actions	player	
Trade with	とりひきする	actions	player	
Lookup	さがす	actions	player	
Equipment	そうび	actions	player	
Report	ほうこく	actions	player	
Walk here	ここへあるく	actions	manual	
Examine	しらべる	actions	npc	
Examine	しらべる	actions	item	
Take	とる	actions	item	
Light	あかりをつける	actions	item	
Cancel	キャンセル	actions	manual	
Follow	ついていく	actions	player	
Trade with	とりひきする	actions	player	
Lookup	さがす	actions	player	
Equipment	そうび	actions	player	
Report	ほうこく	actions	player	
Adjust Music Volume	おんがくのおおきさをちょうせいする	actions	menu	settingsTab
Adjust Area Sound Volume	ちいきのおとのおおきさをちょうせいする	actions	menu	settingsTab
Adjust Sound Effect Volume	こうかおんのおおきさをちょうせいする	actions	menu	settingsTab
Toggle unlock message	ロックかいじょメッセージをきりかえる	actions	menu	settingsTab
Play	さいせい	actions	menu	
Open Activity Adviser	かつどうアドバイザーをひらく	actions	menu	
<colNum0>Set chat mode:</col> Group (/@g)	チャットモード（グループ）をセットする	actions	menu	
<colNum0>Set chat mode:</col> Guest Clan (/@gc)	チャットモード（ゲストきょぎょう）をセットする	actions	menu	
<colNum0>Set chat mode:</col> Clan (/@c)	チャットモード（きょぎょう）をセットする	actions	menu	
<colNum0>Set chat mode:</col> Channel (/@f)	チャットモード（チャネル）をセットする	actions	menu	
<colNum0>Set chat mode:</col> Public (/@p)	チャットモード（こうきょう）をセットする	actions	menu	
Clear history	れきしをけす	actions	menu	
Switch tab	タブをきりかえる	actions	menu	
Configure filter	フィルターをていぎする	actions	menu	
<colNum0>Game:</col> Clear history	ゲームのれきしをけす	actions	menu	
<colNum0>Game:</col> Filter	ゲームをふぃるたーする	actions	menu	
Setup your autochat	オートチャットをていぎする	actions	menu	
Filter public chat	こうきょうチャットをふぃるたーする	actions	menu	
<colNum0>Public:</col> Clear history	こうきょうのれきしをけす	actions	menu	
<colNum0>Public:</col> Hide	かくす	actions	menu	
<colNum0>Public:</col> Show none	ナシをあらわす	actions	menu	
<colNum0>Public:</col> Show friends	ともだちをあらわす	actions	menu	
<colNum0>Public:</col> Show standard	せんえんをあらわす	actions	menu	
<colNum0>Public:</col> Show autochat	オートチャットをあらわす	actions	menu	
<colNum0>Private:</col> Clear history	プライベートのれきしをけす	actions	menu	
<colNum0>Private:</col> Show none	ナシをあらわす	actions	menu	
<colNum0>Private:</col> Show friends	ともだちをあらわす	actions	menu	
<colNum0>Private:</col> Show all	すべてをあらわす	actions	menu	
<colNum0>Channel:</col> Clear history	チャネルのれきしをけす	actions	menu	
<colNum0>Channel:</col> Show none	ナシをあらわす	actions	menu	
<colNum0>Channel:</col> Show friends	ともだちをあらわす	actions	menu	
<colNum0>Channel:</col> Show all	すべてをあらわす	actions	menu	
<colNum0>Clan:</col> Clear history	きょぎょうのれきしをけす	actions	menu	
<colNum0>Clan:</col> Show none	ナシをあらわす	actions	menu	
<colNum0>Clan:</col> Show friends	ともだちをあらわす	actions	menu	
<colNum0>Clan:</col> Show all	すべてをあらわす	actions	menu	
<colNum0>Group:</col> Clear history	グループのれきしをけす	actions	menu	
<colNum0>Group:</col> Show none	ナシをあらわす	actions	menu	
<colNum0>Group:</col> Show friends	ともだちをあらわす	actions	menu	
<colNum0>Group:</col> Show all	すべてをあらわす	actions	menu	
Report game bug	ゲームのバグをほうこくする	actions	menu	
Report abuse	あくせきをほうこくする	actions	menu	
Combat Options	せんとうのオプション	actions	menu	
Skills	スキル	actions	menu	
Achievement Diaries	たっせいりょく	actions	menu	
Inventory	ほたんばこ	actions	menu	
Worn Equipment	つけているそうび	actions	menu	
Enable prayer reordering	いのりのならびかえをオンにする	actions	menu	
Disable prayer filtering	いのりのふぃるたーをオフにする	actions	menu	
Prayer	いのり	actions	menu	
Enable spell reordering	しゅっぱつのならびかえをオンにする	actions	menu	
Disable spell filtering	しゅっぱつのふぃるたーをオフにする	actions	menu	
Magic	ちゅうがく	actions	menu	
Friends List	ともだちリスト	actions	menu	
Account Management	あかうんとかんり	actions	menu	
Ironman Group	あいあんぐるーぷ	actions	menu	
Settings	せっていい	actions	menu	
Emotes	エモート	actions	menu	
Music Player	おんがくさいせいき	actions	menu	
Logout	ろぐあうと	actions	menu	
Look West	にしをみる	actions	menu	
Look South	みなみをみる	actions	menu	
Look East	ひがしをみる	actions	menu	
Look North	きたをみる	actions	menu	
Setup	ていぎする	actions	menu	
Hide	かくす	actions	menu	
Show	あらわす	actions	menu	
Activate	はじめる	actions	menu	
Toggle Run	はしるをきりかえる	actions	menu	
Use	つかう	actions	menu	
Bond Pouch	つなぎぶくろ	actions	menu	
Open Store	てんぽをひらく	actions	menu	
Clear	けす	actions	menu	
Import	いにゅぽーとする	actions	menu	
Export	えくすぽーとする	actions	menu	
Fullscreen <colNum0>World Map</col>	フルスクリーンでせかいずをひらく	actions	menu	
Floating <colNum0>World Map</col>	ういたせかいずをひらく	actions	menu	
DPS	でぃーぴーえす	actions	menu	
Search	さがす	actions	menu	
Lookup	さがす	actions	menu	
Auto retaliate	じどうはんげきする	actions	menu	combatOptionsTab
Use <colNum0>Special Attack</col>	とくべつなこうげきをつかう	actions	menu	combatOptionsTab
Wiki	ウィキ	actions	menu	
Add to canvas	キャンバスへあてはめる	actions	menu	
View <colNum0>Attack</col> guide	こうげきガイドをみる	actions	menu	skillsTab
View <colNum0>Hitpoints</col> guide	けんこうガイドをみる	actions	menu	skillsTab
View <colNum0>Mining</col> guide	さいくつガイドをみる	actions	menu	skillsTab
View <colNum0>Strength</col> guide	ちからガイドをみる	actions	menu	skillsTab
View <colNum0>Agility</col> guide	かるやかさガイドをみる	actions	menu	skillsTab
View <colNum0>Smithing</col> guide	たんじょうガイドをみる	actions	menu	skillsTab
View <colNum0>Defence</col> guide	ぼうえきガイドをみる	actions	menu	skillsTab
View <colNum0>Herblore</col> guide	やくそうガイドをみる	actions	menu	skillsTab
View <colNum0>Fishing</col> guide	つりガイドをみる	actions	menu	skillsTab
View <colNum0>Ranged</col> guide	とうげきガイドをみる	actions	menu	skillsTab
View <colNum0>Thieving</col> guide	ぬすみガイドをみる	actions	menu	skillsTab
View <colNum0>Cooking</col> guide	りょうりガイドをみる	actions	menu	skillsTab
View <colNum0>Prayer</col> guide	いのりガイドをみる	actions	menu	skillsTab
View <colNum0>Crafting</col> guide	ていさくガイドをみる	actions	menu	skillsTab
View <colNum0>Firemaking</col> guide	ひたてガイドをみる	actions	menu	skillsTab
View <colNum0>Magic</col> guide	ちゅうがくガイドをみる	actions	menu	skillsTab
View <colNum0>Fletching</col> guide	やじろぎガイドをみる	actions	menu	skillsTab
View <colNum0>Woodcutting</col> guide	もくたいガイドをみる	actions	menu	skillsTab
View <colNum0>Runecraft</col> guide	ほんぞうガイドをみる	actions	menu	skillsTab
View <colNum0>Slayer</col> guide	さつじんがいどをみる	actions	menu	skillsTab
View <colNum0>Farming</col> guide	のうぎょうガイドをみる	actions	menu	skillsTab
View <colNum0>Construction</col> guide	けんせつガイドをみる	actions	menu	skillsTab
View <colNum0>Hunter</col> guide	ハンターガイドをみる	actions	menu	skillsTab
Character Summary	キャラクターよう	actions	menu	characterSummaryTab
Achievement Diaries	たっせいりょく	actions	menu	characterSummaryTab
Quest List	えりむしリスト	actions	menu	characterSummaryTab
Character Summary	キャラクターよう	actions	menu	
Quest List	えりむしリスト	actions	menu	
Rewards	ほうしゅう	actions	menu	characterSummaryTab
Tasks	タスク	actions	menu	characterSummaryTab
Bosses	ボス	actions	menu	characterSummaryTab
Overview	がいよう	actions	menu	characterSummaryTab
Collection Log	しゅうしゅくログ	actions	menu	characterSummaryTab
Reveal	あばく	actions	menu	characterSummaryTab
Hide	かくす	actions	menu	characterSummaryTab
Open	ひらく	actions	menu	questListTab
Close	とじる	actions	menu	questListTab
Start Quest Helper	えりむしヘルパーをはじめる	actions	menu	questListTab
Open wiki quick guide:	ウィキのはやいガイドをひらく	actions	menu	questListTab
Open wiki guide:	ウィキのガイドをひらく	actions	menu	questListTab
Show on map:	ちずでみせる	actions	menu	questListTab
Read journal:	にっきをよむ	actions	menu	questListTab
Start Helper	ヘルパーをはじめる	actions	menu	achievementDiaryTab
Wiki <colNum0>Ardougne Journal</col>	ウィキ Ardougne のにっき	actions	menu	achievementDiaryTab
Open <colNum0>Ardougne Journal</col>	Ardougne のにっきをひらく	actions	menu	achievementDiaryTab
Wiki <colNum0>Desert Journal</col>	ウィキ さばくのにっき	actions	menu	achievementDiaryTab
Open <colNum0>Desert Journal</col>	さばくのにっきをひらく	actions	menu	achievementDiaryTab
Wiki <colNum0>Falador Journal</col>	ウィキ Falador のにっき	actions	menu	achievementDiaryTab
Open <colNum0>Falador Journal</col>	Falador のにっきをひらく	actions	menu	achievementDiaryTab
Wiki <colNum0>Fremennik Journal</col>	ウィキ フレメニックのにっき	actions	menu	achievementDiaryTab
Open <colNum0>Fremennik Journal</col>	フレメニックのにっきをひらく	actions	menu	achievementDiaryTab
Wiki <colNum0>Kandarin Journal</col>	ウィキ Kandarin のにっき	actions	menu	achievementDiaryTab
Open <colNum0>Kandarin Journal</col>	Kandarin のにっきをひらく	actions	menu	achievementDiaryTab
Wiki <colNum0>Karamja Journal</col>	ウィキ Karamja のにっき	actions	menu	achievementDiaryTab
Open <colNum0>Karamja Journal</col>	Karamja のにっきをひらく	actions	menu	achievementDiaryTab
Wiki <colNum0>Kourend & Kebos Journal</col>	ウィキ Kourend & Kebos のにっき	actions	menu	achievementDiaryTab
Open <colNum0>Kourend & Kebos Journal</col>	Kourend & Kebos のにっきをひらく	actions	menu	achievementDiaryTab
Wiki <colNum0>Lumbridge & Draynor Journal</col>	ウィキ Lumbridge & Draynor のにっき	actions	menu	achievementDiaryTab
Open <colNum0>Lumbridge & Draynor Journal</col>	Lumbridge & Draynor のにっきをひらく	actions	menu	achievementDiaryTab
Wiki <colNum0>Morytania Journal</col>	ウィキ Morytania のにっき	actions	menu	achievementDiaryTab
Open <colNum0>Morytania Journal</col>	Morytania のにっきをひらく	actions	menu	achievementDiaryTab
Wiki <colNum0>Varrock Journal</col>	ウィキ Varrock のにっき	actions	menu	achievementDiaryTab
Open <colNum0>Varrock Journal</col>	Varrock のにっきをひらく	actions	menu	achievementDiaryTab
Wiki <colNum0>Western Provinces Journal</col>	ウィキ にしほうけんのにっき	actions	menu	achievementDiaryTab
Open <colNum0>Western Provinces Journal</col>	にしほうけんのにっきをひらく	actions	menu	achievementDiaryTab
Wiki <colNum0>Wilderness Journal</col>	ウィキ やせちのにっき	actions	menu	achievementDiaryTab
Open <colNum0>Wilderness Journal</col>	やせちのにっきをひらく	actions	menu	achievementDiaryTab
View equipment stats	そうびのかずをみる	actions	menu	wornEquipmentTab
View guide prices	ガイドのねだんをみる	actions	menu	wornEquipmentTab
View items kept on death	しぬときにのこるアイテムをみる	actions	menu	wornEquipmentTab
Call follower	したがうもりをよぶ	actions	menu	wornEquipmentTab
Disable prayer reordering	いのりのならびかえをオフにする	actions	menu	
Enable prayer filtering	いのりのふぃるたーをオンにする	actions	menu	
Disable spell reordering	しゅっぱつのならびかえをオフにする	actions	menu	
Enable spell filtering	しゅっぱつのふぃるたーをオンにする	actions	menu	
Show notifications	つうちをあらわす	actions	menu	
Add Note	めもをつける	actions	menu	
Delete	さくじょする	actions	menu	friendsTab
Message	メッセージをおくる	actions	menu	friendsTab
View Ignore List	むしするリストをみる	actions	menu	friendsTab
Add Friend	ともだちをつける	actions	menu	friendsTab
Delete Friend	ともだちをさくじょする	actions	menu	friendsTab
View Friends List	ともだちリストをみる	actions	menu	ignoreTab
Delete	さくじょする	actions	menu	ignoreTab
Add Name	なまえをつける	actions	menu	ignoreTab
Delete Name	なまえをさくじょする	actions	menu	ignoreTab
Account	あかうんと	actions	menu	accountManagementTab
Community	こむゅにてぃ	actions	menu	accountManagementTab
Useful Links	べんりなリンク	actions	menu	accountManagementTab
Open Store	てんぽをひらく	actions	menu	accountManagementTab
Bond Pouch	つなぎぶくろ	actions	menu	accountManagementTab
View Inbox	ていきばこをみる	actions	menu	accountManagementTab
Name Changer	なまえこうかんき	actions	menu	accountManagementTab
View History	れきしをみる	actions	menu	accountManagementTab
View Newspost	にゅーすをみる	actions	menu	accountManagementTab
View Archive	あーかいぶをみる	actions	menu	accountManagementTab
Open	ひらく	actions	menu	accountManagementTab
Settings	せっていい	actions	menu	groupTab
Refresh	さいせっしする	actions	menu	groupTab
Join	さんかする	actions	menu	groupTab
Setup	ていぎする	actions	menu	groupTab
Find	さがす	actions	menu	groupTab
Open	ひらく	actions	menu	groupTab
Teleport	テレポートする	actions	menu	groupTab
Select	えらぶ	actions	menu	groupTab
Toggle skull prevention	どくろぼうしをふせぐをきりかえる	actions	menu	settingsTab
Toggle Accept Aid	えんじょをうけいれるをきりかえる	actions	menu	settingsTab
Toggle Run	はしるをきりかえる	actions	menu	settingsTab
View House Options	いえのおぷしょんをみる	actions	menu	settingsTab
Open Bond Pouch	つなぎぶくろをひらく	actions	menu	settingsTab
All Settings	すべてのせっていい	actions	menu	settingsTab
Controls	おぺれーしょん	actions	menu	settingsTab
Display	ひょうじ	actions	menu	settingsTab
Audio	おと	actions	menu	settingsTab
Unmute	ボリュームをもどす	actions	menu	settingsTab
Adjust Brightness	あかるさをちょうせいする	actions	menu	settingsTab
Restore Default Zoom	ズームをもとにもどす	actions	menu	settingsTab
Disable	オフにする	actions	menu	settingsTab
Select	えらぶ	actions	menu	settingsTab
Perform	えんじする	actions	menu	emotesTab
Area	ちいき	actions	menu	musicTab
Manual	しゅどう	actions	menu	musicTab
Random	らんだむ	actions	menu	musicTab
Unlock hint	カギあきてきをあけくれ	actions	menu	musicTab
Play	さいせい	actions	menu	musicTab
Thumbs Up	うえをおやゆびでむく	actions	menu	logoutTab
Thumbs Down	したをおやゆびでむく	actions	menu	logoutTab
World Switcher	せかいをかえる	actions	menu	logoutTab
Logout	ろぐあうと	actions	menu	logoutTab
Favourite	ふぁぼりっと	actions	menu	worldSwitcherTab
Switch	きりかえる	actions	menu	worldSwitcherTab
Logout	ろぐあうと	actions	menu	worldSwitcherTab
Clear	けす	actions	menu	worldSwitcherTab
Close	とじる	actions	menu	worldSwitcherTab
Configure	ていぎする	actions	menu	worldSwitcherTab
Character Summary	キャラクターよう	actions	menu	achievementDiaryTab
Achievement Diaries	たっせいりょく	actions	menu	achievementDiaryTab
Quest List	えりむしリスト	actions	menu	achievementDiaryTab
Character Summary	キャラクターよう	actions	menu	questListTab
Achievement Diaries	たっせいりょく	actions	menu	questListTab
Quest List	えりむしリスト	actions	menu	questListTab
Grouping	グループていぎ	actions	menu	groupTab
